assigned_cen	size_bucket_distinct_kmers	units	fraction_units
CEN1	1	9	0.142857
CEN1	2	8	0.126984
CEN1	3-5	10	0.158730
CEN1	6-10	16	0.253968
CEN1	11-20	14	0.222222
CEN1	21-50	5	0.079365
CEN1	51-100	0	0.000000
CEN1	101-500	0	0.000000
CEN1	501+	1	0.015873
CEN2	1	12	0.169014
CEN2	2	9	0.126761
CEN2	3-5	18	0.253521
CEN2	6-10	15	0.211268
CEN2	11-20	15	0.211268
CEN2	21-50	1	0.014085
CEN2	51-100	0	0.000000
CEN2	101-500	0	0.000000
CEN2	501+	1	0.014085
CEN3	1	18	0.156522
CEN3	2	6	0.052174
CEN3	3-5	20	0.173913
CEN3	6-10	19	0.165217
CEN3	11-20	29	0.252174
CEN3	21-50	17	0.147826
CEN3	51-100	4	0.034783
CEN3	101-500	1	0.008696
CEN3	501+	1	0.008696
CEN4	1	10	0.133333
CEN4	2	5	0.066667
CEN4	3-5	9	0.120000
CEN4	6-10	19	0.253333
CEN4	11-20	20	0.266667
CEN4	21-50	9	0.120000
CEN4	51-100	1	0.013333
CEN4	101-500	1	0.013333
CEN4	501+	1	0.013333
CEN5	1	24	0.138728
CEN5	2	12	0.069364
CEN5	3-5	31	0.179191
CEN5	6-10	37	0.213873
CEN5	11-20	36	0.208092
CEN5	21-50	30	0.173410
CEN5	51-100	2	0.011561
CEN5	101-500	0	0.000000
CEN5	501+	1	0.005780
