assigned_cen	chr	window_start	window_end	window_midpoint	window_length_bp	selected_distinct_kmers	target_map_hits	cenhap_strength_units	cenhap_strength_blocks	block_bp	selected_kmers_per_100kb	target_map_hits_per_100kb	units_per_100kb	blocks_per_100kb
CEN1	Chr1	15000000	15099999	15049999	100000	705	12172	9	752	33366	705.000000	12172.000000	9.000000	752.000000
CEN1	Chr1	15025000	15124999	15074999	100000	698	13723	9	816	37118	698.000000	13723.000000	9.000000	816.000000
CEN1	Chr1	15050000	15149999	15099999	100000	657	14148	10	786	37183	657.000000	14148.000000	10.000000	786.000000
CEN1	Chr1	15075000	15174999	15124999	100000	789	14317	8	758	36122	789.000000	14317.000000	8.000000	758.000000
CEN1	Chr1	15100000	15199999	15149999	100000	756	15139	8	768	36715	756.000000	15139.000000	8.000000	768.000000
CEN1	Chr1	15125000	15224999	15174999	100000	756	15532	10	764	36676	756.000000	15532.000000	10.000000	764.000000
CEN1	Chr1	15150000	15249999	15199999	100000	775	15801	10	771	36551	775.000000	15801.000000	10.000000	771.000000
CEN1	Chr1	15175000	15274999	15224999	100000	810	16420	10	824	38072	810.000000	16420.000000	10.000000	824.000000
CEN1	Chr1	15200000	15299999	15249999	100000	733	16394	10	830	38088	733.000000	16394.000000	10.000000	830.000000
CEN1	Chr1	15225000	15324999	15274999	100000	757	16331	7	829	38025	757.000000	16331.000000	7.000000	829.000000
CEN1	Chr1	15250000	15349999	15299999	100000	676	15793	3	817	37047	676.000000	15793.000000	3.000000	817.000000
CEN1	Chr1	15275000	15374999	15324999	100000	751	14689	5	775	34817	751.000000	14689.000000	5.000000	775.000000
CEN1	Chr1	15300000	15399999	15349999	100000	752	13919	8	753	33442	752.000000	13919.000000	8.000000	753.000000
CEN1	Chr1	15325000	15424999	15374999	100000	679	12993	11	733	31855	679.000000	12993.000000	11.000000	733.000000
CEN1	Chr1	15350000	15449999	15399999	100000	733	13104	13	734	31863	733.000000	13104.000000	13.000000	734.000000
CEN1	Chr1	15375000	15474999	15424999	100000	674	13498	13	769	33123	674.000000	13498.000000	13.000000	769.000000
CEN1	Chr1	15400000	15499999	15449999	100000	682	13919	14	778	33896	682.000000	13919.000000	14.000000	778.000000
CEN1	Chr1	15425000	15524999	15474999	100000	791	13173	16	775	32439	791.000000	13173.000000	16.000000	775.000000
CEN1	Chr1	15450000	15549999	15499999	100000	942	12611	13	768	31805	942.000000	12611.000000	13.000000	768.000000
CEN1	Chr1	15475000	15574999	15524999	100000	928	11571	15	707	29524	928.000000	11571.000000	15.000000	707.000000
CEN1	Chr1	15500000	15599999	15549999	100000	806	10357	12	657	26944	806.000000	10357.000000	12.000000	657.000000
CEN1	Chr1	15525000	15624999	15574999	100000	583	11154	7	650	28004	583.000000	11154.000000	7.000000	650.000000
CEN1	Chr1	15550000	15649999	15599999	100000	508	10826	6	618	26878	508.000000	10826.000000	6.000000	618.000000
CEN1	Chr1	15575000	15674999	15624999	100000	462	10209	5	571	24771	462.000000	10209.000000	5.000000	571.000000
CEN1	Chr1	15600000	15699999	15649999	100000	513	10073	8	578	24661	513.000000	10073.000000	8.000000	578.000000
CEN1	Chr1	15625000	15724999	15674999	100000	646	9707	10	585	24213	646.000000	9707.000000	10.000000	585.000000
CEN1	Chr1	15650000	15749999	15699999	100000	509	9728	8	597	24488	509.000000	9728.000000	8.000000	597.000000
CEN1	Chr1	15675000	15774999	15724999	100000	571	10480	9	652	26216	571.000000	10480.000000	9.000000	652.000000
CEN1	Chr1	15700000	15799999	15749999	100000	499	10982	8	649	26250	499.000000	10982.000000	8.000000	649.000000
CEN1	Chr1	15725000	15824999	15774999	100000	587	11352	9	652	26466	587.000000	11352.000000	9.000000	652.000000
CEN1	Chr1	15750000	15849999	15799999	100000	562	11860	8	669	27413	562.000000	11860.000000	8.000000	669.000000
CEN1	Chr1	15775000	15874999	15824999	100000	647	12089	9	699	28795	647.000000	12089.000000	9.000000	699.000000
CEN1	Chr1	15800000	15899999	15849999	100000	736	12299	8	738	30482	736.000000	12299.000000	8.000000	738.000000
CEN1	Chr1	15825000	15924999	15874999	100000	758	12421	8	767	31896	758.000000	12421.000000	8.000000	767.000000
CEN1	Chr1	15850000	15949999	15899999	100000	785	11164	9	732	29907	785.000000	11164.000000	9.000000	732.000000
CEN1	Chr1	15875000	15974999	15924999	100000	803	10252	8	678	27944	803.000000	10252.000000	8.000000	678.000000
CEN1	Chr1	15900000	15999999	15949999	100000	700	9790	7	655	27768	700.000000	9790.000000	7.000000	655.000000
CEN1	Chr1	15925000	16024999	15974999	100000	494	10258	5	657	28587	494.000000	10258.000000	5.000000	657.000000
CEN1	Chr1	15950000	16049999	15999999	100000	533	11460	6	696	30900	533.000000	11460.000000	6.000000	696.000000
CEN1	Chr1	15975000	16074999	16024999	100000	522	12281	7	732	33079	522.000000	12281.000000	7.000000	732.000000
CEN1	Chr1	16000000	16099999	16049999	100000	571	12698	6	739	33167	571.000000	12698.000000	6.000000	739.000000
CEN1	Chr1	16025000	16124999	16074999	100000	539	12231	7	710	31922	539.000000	12231.000000	7.000000	710.000000
CEN1	Chr1	16050000	16149999	16099999	100000	586	11808	10	704	31293	586.000000	11808.000000	10.000000	704.000000
CEN1	Chr1	16075000	16174999	16124999	100000	583	11263	11	687	29787	583.000000	11263.000000	11.000000	687.000000
CEN1	Chr1	16100000	16199999	16149999	100000	595	10242	11	649	27224	595.000000	10242.000000	11.000000	649.000000
CEN1	Chr1	16125000	16224999	16174999	100000	536	9629	9	627	25526	536.000000	9629.000000	9.000000	627.000000
CEN1	Chr1	16150000	16249999	16199999	100000	581	9474	9	596	24690	581.000000	9474.000000	9.000000	596.000000
CEN1	Chr1	16175000	16274999	16224999	100000	540	8829	8	561	23006	540.000000	8829.000000	8.000000	561.000000
CEN1	Chr1	16200000	16299999	16249999	100000	547	7895	6	527	21527	547.000000	7895.000000	6.000000	527.000000
CEN1	Chr1	16225000	16324999	16274999	100000	522	7112	3	518	21057	522.000000	7112.000000	3.000000	518.000000
CEN1	Chr1	16250000	16349999	16299999	100000	563	6201	4	501	19607	563.000000	6201.000000	4.000000	501.000000
CEN1	Chr1	16275000	16374999	16324999	100000	520	6187	4	482	19947	520.000000	6187.000000	4.000000	482.000000
CEN1	Chr1	16300000	16399999	16349999	100000	511	6589	4	518	21308	511.000000	6589.000000	4.000000	518.000000
CEN1	Chr1	16325000	16424999	16374999	100000	675	8036	9	551	23536	675.000000	8036.000000	9.000000	551.000000
CEN1	Chr1	16350000	16449999	16399999	100000	621	8807	10	568	24391	621.000000	8807.000000	10.000000	568.000000
CEN1	Chr1	16375000	16474999	16424999	100000	653	9609	11	618	25429	653.000000	9609.000000	11.000000	618.000000
CEN1	Chr1	16400000	16499999	16449999	100000	622	10499	11	620	25906	622.000000	10499.000000	11.000000	620.000000
