assigned_cen	chr	bin_index	bin_start	bin_end	bin_midpoint	bin_length_bp	selected_distinct_kmers	target_map_hits	selected_kmers_per_100kb	target_map_hits_per_100kb
CEN1	Chr1	1	15000000	15199999	15099999	200000	1203	27311	601.500000	13655.500000
CEN1	Chr1	2	15200000	15399999	15299999	200000	1097	30313	548.500000	15156.500000
CEN1	Chr1	3	15400000	15599999	15499999	200000	1205	24276	602.500000	12138.000000
CEN1	Chr1	4	15600000	15799999	15699999	200000	750	21055	375.000000	10527.500000
CEN1	Chr1	5	15800000	15999999	15899999	200000	1082	22089	541.000000	11044.500000
CEN1	Chr1	6	16000000	16199999	16099999	200000	851	22932	425.500000	11466.000000
CEN1	Chr1	7	16200000	16399999	16299999	200000	853	14482	426.500000	7241.000000
CEN1	Chr1	8	16400000	16599999	16499999	200000	1212	29941	606.000000	14970.500000
CEN1	Chr1	9	16600000	16799999	16699999	200000	1327	39068	663.500000	19534.000000
CEN1	Chr1	10	16800000	17000000	16900000	200001	1346	36503	672.996635	18251.408743
CEN2	Chr2	1	4800000	4999999	4899999	200000	900	21795	450.000000	10897.500000
CEN2	Chr2	2	5000000	5199999	5099999	200000	628	22281	314.000000	11140.500000
CEN2	Chr2	3	5200000	5399999	5299999	200000	795	22721	397.500000	11360.500000
CEN2	Chr2	4	5400000	5599999	5499999	200000	613	30644	306.500000	15322.000000
CEN2	Chr2	5	5600000	5799999	5699999	200000	759	26020	379.500000	13010.000000
CEN2	Chr2	6	5800000	5999999	5899999	200000	761	20726	380.500000	10363.000000
CEN2	Chr2	7	6000000	6199999	6099999	200000	865	22734	432.500000	11367.000000
CEN2	Chr2	8	6200000	6300000	6250000	100001	639	7740	638.993610	7739.922601
CEN3	Chr3	1	14000000	14199999	14099999	200000	1126	19251	563.000000	9625.500000
CEN3	Chr3	2	14200000	14399999	14299999	200000	944	25438	472.000000	12719.000000
CEN3	Chr3	3	14400000	14599999	14499999	200000	2223	28553	1111.500000	14276.500000
CEN3	Chr3	4	14600000	14799999	14699999	200000	1979	26071	989.500000	13035.500000
CEN3	Chr3	5	14800000	14999999	14899999	200000	1612	25304	806.000000	12652.000000
CEN3	Chr3	6	15000000	15199999	15099999	200000	785	19269	392.500000	9634.500000
CEN3	Chr3	7	15200000	15399999	15299999	200000	626	21169	313.000000	10584.500000
CEN3	Chr3	8	15400000	15599999	15499999	200000	659	24674	329.500000	12337.000000
CEN3	Chr3	9	15600000	15700000	15650000	100001	344	11909	343.996560	11908.880911
CEN4	Chr4	1	4800000	4999999	4899999	200000	910	29189	455.000000	14594.500000
CEN4	Chr4	2	5000000	5199999	5099999	200000	1029	25281	514.500000	12640.500000
CEN4	Chr4	3	5200000	5399999	5299999	200000	988	22237	494.000000	11118.500000
CEN4	Chr4	4	5400000	5599999	5499999	200000	918	27552	459.000000	13776.000000
CEN4	Chr4	5	5600000	5799999	5699999	200000	911	26349	455.500000	13174.500000
CEN4	Chr4	6	5800000	5999999	5899999	200000	1207	27585	603.500000	13792.500000
CEN4	Chr4	7	6000000	6200000	6100000	200001	1129	28533	564.497178	14266.428668
CEN5	Chr5	1	12700000	12899999	12799999	200000	1662	19878	831.000000	9939.000000
CEN5	Chr5	2	12900000	13099999	12999999	200000	1828	16445	914.000000	8222.500000
CEN5	Chr5	3	13100000	13299999	13199999	200000	1833	19228	916.500000	9614.000000
CEN5	Chr5	4	13300000	13499999	13399999	200000	1525	17550	762.500000	8775.000000
CEN5	Chr5	5	13500000	13699999	13599999	200000	1337	21611	668.500000	10805.500000
CEN5	Chr5	6	13700000	13899999	13799999	200000	1350	20712	675.000000	10356.000000
CEN5	Chr5	7	13900000	14099999	13999999	200000	1896	21974	948.000000	10987.000000
CEN5	Chr5	8	14100000	14299999	14199999	200000	1588	26249	794.000000	13124.500000
CEN5	Chr5	9	14300000	14400000	14350000	100001	1417	12754	1416.985830	12753.872461
